bundle,metrics,n_streamlines,vol_mm3,mean,std,median,IQR
lh_IP-IP_0,AD,1167,8208.0,0.001102,0.00011,0.001104,0.000145
lh_IP-IP_0,RD,1167,8208.0,0.642106,0.143879,0.606411,0.111811
lh_IP-IP_0,MD,1167,8208.0,0.000809,0.000119,0.000772,9.5e-05
lh_IP-IP_0,ISO,1167,8208.0,0.796416,0.0405,0.797089,0.055585
lh_IP-IP_0,RDI,1167,8208.0,0.516983,0.015109,0.517125,0.016744
lh_IP-IP_1,QA,3229,9871.999,0.189859,0.057749,0.191167,0.087717
lh_IP-IP_1,QIR,3229,9871.999,0.25973,0.087913,0.268126,0.133369
lh_IP-IP_1,FA,3229,9871.999,0.307998,0.086458,0.32476,0.121251
lh_IP-IP_1,AD,3229,9871.999,0.001039,9e-05,0.001022,9.9e-05
lh_IP-IP_1,RD,3229,9871.999,0.652152,0.106469,0.619993,0.132733
lh_IP-IP_1,MD,3229,9871.999,0.000798,8.3e-05,0.000769,9.4e-05
lh_IP-IP_1,ISO,3229,9871.999,0.791872,0.058405,0.774527,0.071779
lh_IP-IP_1,RDI,3229,9871.999,0.50881,0.025065,0.505776,0.027086
lh_IP-IP_2,QA,972,5680.0,0.184106,0.044266,0.177965,0.045152
lh_IP-IP_2,QIR,972,5680.0,0.235972,0.065339,0.225631,0.068514
lh_IP-IP_2,FA,972,5680.0,0.302196,0.064173,0.304185,0.064682
lh_IP-IP_2,AD,972,5680.0,0.001028,0.000116,0.001006,0.00017
lh_IP-IP_2,RD,972,5680.0,0.654206,0.124591,0.619987,0.115927
lh_IP-IP_2,MD,972,5680.0,0.000797,0.00011,0.000775,0.000104
lh_IP-IP_2,ISO,972,5680.0,0.829932,0.049727,0.827325,0.0697
lh_IP-IP_2,RDI,972,5680.0,0.528041,0.026346,0.527384,0.037988
lh_IP-LO_1,QA,1020,2792.0,0.194571,0.027474,0.198322,0.047397
lh_IP-LO_1,QIR,1020,2792.0,0.260256,0.045888,0.267416,0.081485
lh_IP-LO_1,FA,1020,2792.0,0.341884,0.059152,0.353324,0.09275
lh_IP-LO_1,AD,1020,2792.0,0.001038,8e-05,0.00105,0.000131
lh_IP-LO_1,RD,1020,2792.0,0.600604,0.068309,0.586773,0.08556
lh_IP-LO_1,MD,1020,2792.0,0.000766,5.1e-05,0.000756,5.8e-05
lh_IP-LO_1,ISO,1020,2792.0,0.797386,0.039807,0.786789,0.070212
lh_IP-LO_1,RDI,1020,2792.0,0.512975,0.02054,0.511079,0.030233
lh_IP-MT_0,QA,1224,6408.0,0.272405,0.037343,0.273848,0.060074
lh_IP-MT_0,QIR,1224,6408.0,0.380588,0.059121,0.381782,0.092615
lh_IP-MT_0,FA,1224,6408.0,0.413029,0.04579,0.419831,0.073684
lh_IP-MT_0,AD,1224,6408.0,0.001107,6e-05,0.001115,0.0001
lh_IP-MT_0,RD,1224,6408.0,0.567514,0.039891,0.569321,0.058151
lh_IP-MT_0,MD,1224,6408.0,0.000766,3.3e-05,0.000764,4.9e-05
lh_IP-MT_0,ISO,1224,6408.0,0.75699,0.032146,0.752991,0.04916
lh_IP-MT_0,RDI,1224,6408.0,0.507776,0.011651,0.507415,0.013894
lh_IP-MT_1,QA,621,4072.0,0.216367,0.044532,0.22288,0.042582
lh_IP-MT_1,QIR,621,4072.0,0.294606,0.065286,0.304364,0.06567
lh_IP-MT_1,FA,621,4072.0,0.363086,0.054792,0.369449,0.068584
lh_IP-MT_1,AD,621,4072.0,0.00103,5e-05,0.001031,6.9e-05
lh_IP-MT_1,RD,621,4072.0,0.570729,0.062966,0.55692,0.070579
lh_IP-MT_1,MD,621,4072.0,0.000745,4.7e-05,0.000738,5.9e-05
lh_IP-MT_1,ISO,621,4072.0,0.775696,0.032171,0.776111,0.048688
lh_IP-MT_1,RDI,621,4072.0,0.504865,0.014494,0.503542,0.020534
lh_IP-SM_0,QA,814,3856.0,0.181848,0.038171,0.173755,0.048002
lh_IP-SM_0,QIR,814,3856.0,0.256691,0.057124,0.247316,0.072748
lh_IP-SM_0,FA,814,3856.0,0.306576,0.062148,0.304089,0.065867
lh_IP-SM_0,AD,814,3856.0,0.001131,9.1e-05,0.001127,0.000115
lh_IP-SM_0,RD,814,3856.0,0.705005,0.093793,0.693736,0.08667
lh_IP-SM_0,MD,814,3856.0,0.00086,8.2e-05,0.000847,9.6e-05
lh_IP-SM_0,ISO,814,3856.0,0.757,0.03272,0.756476,0.034858
lh_IP-SM_0,RDI,814,3856.0,0.48345,0.019698,0.480063,0.020334
lh_IP-SP_0,QA,5005,12903.999,0.274619,0.045144,0.287403,0.049599
lh_IP-SP_0,QIR,5005,12903.999,0.367399,0.067496,0.385248,0.078474
